season,team,gpa,n_sources,note
2021,CHI,3.99,18,
2021,CLE,3.89,18,
2021,LAC,3.76,18,
2021,NYJ,3.69,18,
2021,MIA,3.64,18,
2021,NWE,3.57,18,
2021,BAL,3.47,18,
2021,DET,3.47,18,
2021,JAX,3.46,18,
2021,NYG,3.44,18,
2021,DEN,3.41,18,
2021,ATL,3.37,18,
2021,MIN,3.33,18,
2021,KAN,3.32,18,
2021,CAR,3.32,18,
2021,SFO,3.19,18,
2021,PHI,3.13,18,
2021,WAS,3.09,18,
2021,TEN,3.03,18,
2021,CIN,3.01,18,
2021,BUF,2.99,18,
2021,TAM,2.74,18,
2021,ARI,2.58,18,
2021,PIT,2.50,18,
2021,IND,2.49,18,
2021,GNB,2.47,18,
2021,DAL,2.42,18,
2021,NOR,2.22,18,
2021,LVR,2.05,18,
2021,LAR,2.03,18,
2021,SEA,1.97,18,
2021,HOU,1.88,18,
2025,NWE,3.67,24,
2025,NYG,3.65,24,
2025,SEA,3.63,24,
2025,KAN,3.49,24,
2025,PHI,3.46,24,
2025,LVR,3.44,24,
2025,DAL,3.40,24,
2025,BAL,3.39,24,
2025,CLE,3.33,24,
2025,JAX,3.28,24,
2025,CAR,3.27,24,
2025,TAM,3.26,24,
2025,NYJ,3.24,24,
2025,ARI,3.17,24,
2025,TEN,3.12,24,
2025,PIT,3.10,24,
2025,BUF,3.05,24,
2025,LAR,3.05,24,
2025,CHI,3.04,24,
2025,WAS,2.98,24,
2025,HOU,2.93,24,
2025,IND,2.92,24,
2025,LAC,2.82,24,
2025,DEN,2.80,24,
2025,GNB,2.65,24,
2025,ATL,2.60,24,
2025,SFO,2.45,24,
2025,NOR,2.44,24,
2025,MIN,2.36,24,
2025,DET,2.33,24,
2025,MIA,2.33,24,
2025,CIN,2.06,24,chart glyph ambiguous (2.06 vs 3.06); 2.06 consistent with rank-32 sort order
2026,CLE,3.83,24,
2026,LVR,3.68,24,
2026,NYG,3.68,24,
2026,NYJ,3.62,24,
2026,DAL,3.55,24,
2026,TAM,3.55,24,
2026,KAN,3.40,24,
2026,PHI,3.34,24,
2026,CAR,3.30,24,
2026,BAL,3.28,24,
2026,IND,3.12,24,
2026,TEN,3.12,24,
2026,WAS,3.09,24,
2026,NOR,3.08,24,
2026,CIN,2.92,24,
2026,DET,2.89,24,
2026,BUF,2.88,24,
2026,MIA,2.87,24,
2026,NWE,2.86,24,
2026,CHI,2.82,24,
2026,GNB,2.81,24,
2026,PIT,2.76,24,
2026,SEA,2.71,24,
2026,LAC,2.65,24,
2026,HOU,2.63,24,
2026,DEN,2.51,24,
2026,ATL,2.41,24,
2026,ARI,2.36,24,
2026,MIN,2.32,24,
2026,SFO,2.04,24,
2026,LAR,1.79,24,
2026,JAX,1.34,24,
2022,NYJ,4.08,18,
2022,BAL,4.08,18,
2022,PHI,3.77,18,
2022,KAN,3.72,18,
2022,DET,3.55,18,
2022,NYG,3.47,18,
2022,TEN,3.27,18,
2022,SEA,3.26,18,
2022,ATL,3.24,18,
2022,PIT,3.24,18,
2022,HOU,3.13,18,
2022,IND,3.06,18,
2022,BUF,3.04,18,
2022,GNB,3.02,18,
2022,CAR,2.94,18,
2022,LAC,2.93,18,
2022,TAM,2.92,18,
2022,DEN,2.86,18,
2022,CIN,2.80,18,
2022,MIN,2.79,18,
2022,CLE,2.78,18,
2022,JAX,2.71,18,
2022,LVR,2.69,18,
2022,DAL,2.49,18,
2022,NOR,2.47,18,
2022,WAS,2.38,18,
2022,ARI,2.34,18,
2022,SFO,2.30,18,
2022,CHI,2.29,18,
2022,MIA,2.18,18,
2022,LAR,2.16,18,
2022,NWE,1.61,18,
2023,PHI,4.12,29,
2023,PIT,3.94,29,
2023,IND,3.77,29,
2023,SEA,3.61,29,
2023,ARI,3.41,29,
2023,NYG,3.39,29,
2023,HOU,3.37,29,
2023,CHI,3.28,29,
2023,CIN,3.22,29,
2023,TEN,3.17,29,
2023,BAL,3.14,29,
2023,BUF,3.12,29,
2023,CAR,3.12,29,
2023,NWE,3.10,29,
2023,GNB,2.98,29,
2023,LVR,2.92,29,
2023,TAM,2.90,29,
2023,CLE,2.87,29,
2023,LAR,2.78,29,
2023,LAC,2.74,29,
2023,KAN,2.68,29,
2023,NOR,2.68,29,
2023,MIN,2.66,29,
2023,NYJ,2.54,29,
2023,DET,2.54,29,
2023,JAX,2.47,29,
2023,ATL,2.44,29,
2023,DEN,2.42,29,
2023,MIA,2.38,29,
2023,DAL,2.35,29,
2023,WAS,2.22,29,
2023,SFO,1.78,29,
2024,PIT,3.92,20,
2024,CHI,3.87,20,
2024,PHI,3.84,20,
2024,WAS,3.72,20,
2024,KAN,3.68,20,
2024,ARI,3.61,20,
2024,LAC,3.57,20,
2024,BAL,3.39,20,
2024,LAR,3.36,20,
2024,IND,3.32,20,
2024,DET,3.27,20,
2024,NWE,3.20,20,
2024,CIN,3.18,20,
2024,NYG,3.15,20,
2024,NOR,3.10,20,
2024,MIN,3.06,20,
2024,TAM,3.04,20,
2024,GNB,3.03,20,
2024,NYJ,3.00,20,
2024,HOU,2.95,20,
2024,SEA,2.81,20,
2024,BUF,2.80,20,
2024,MIA,2.79,20,
2024,LVR,2.73,20,
2024,SFO,2.69,20,
2024,DAL,2.64,20,
2024,JAX,2.57,20,
2024,DEN,2.55,20,
2024,TEN,2.47,20,
2024,CAR,2.43,20,
2024,CLE,2.25,20,
2024,ATL,1.68,20,
