season,round,pick,team,pfr_player_name,position,age,to,games,seasons_started,allpro,probowls,w_av,car_av,dr_av
2026,1,1,LVR,Fernando Mendoza,QB,22.0,,,0,0,0,,,
2026,1,2,NYJ,David Bailey,OLB,23.0,,,0,0,0,,,
2026,1,3,ARI,Jeremiyah Love,RB,21.0,,,0,0,0,,,
2026,1,4,TEN,Carnell Tate,WR,21.0,,,0,0,0,,,
2026,1,5,NYG,Arvell Reese,LB,21.0,,,0,0,0,,,
2026,1,6,KAN,Mansoor Delane,CB,22.0,,,0,0,0,,,
2026,1,7,WAS,Sonny Styles,LB,21.0,,,0,0,0,,,
2026,1,8,NOR,Jordyn Tyson,WR,22.0,,,0,0,0,,,
2026,1,9,CLE,Spencer Fano,OT,21.0,,,0,0,0,,,
2026,1,10,NYG,Francis Mauigoa,OT,21.0,,,0,0,0,,,
2026,1,11,DAL,Caleb Downs,S,21.0,,,0,0,0,,,
2026,1,12,MIA,Kadyn Proctor,OT,21.0,,,0,0,0,,,
2026,1,13,LAR,Ty Simpson,QB,23.0,,,0,0,0,,,
2026,1,14,BAL,Olaivavega Ioane,OG,22.0,,,0,0,0,,,
2026,1,15,TAM,Rueben Bain Jr.,DE,21.0,,,0,0,0,,,
2026,1,16,NYJ,Kenyon Sadiq,TE,21.0,,,0,0,0,,,
2026,1,17,DET,Blake Miller,OT,22.0,,,0,0,0,,,
2026,1,18,MIN,Caleb Banks,DT,23.0,,,0,0,0,,,
2026,1,19,CAR,Monroe Freeling,OT,22.0,,,0,0,0,,,
2026,1,20,PHI,Makai Lemon,WR,22.0,,,0,0,0,,,
2026,1,21,PIT,Max Iheanachor,OT,22.0,,,0,0,0,,,
2026,1,22,LAC,Akheem Mesidor,DE,25.0,,,0,0,0,,,
2026,1,23,DAL,Malachi Lawrence,DE,23.0,,,0,0,0,,,
2026,1,24,CLE,KC Concepcion,WR,21.0,,,0,0,0,,,
2026,1,25,CHI,Dillon Thieneman,S,22.0,,,0,0,0,,,
2026,1,26,HOU,Keylan Rutledge,G,23.0,,,0,0,0,,,
2026,1,27,MIA,Chris Johnson,CB,21.0,,,0,0,0,,,
2026,1,28,NWE,Caleb Lomu,OT,21.0,,,0,0,0,,,
2026,1,29,KAN,Peter Woods,DT,21.0,,,0,0,0,,,
2026,1,30,NYJ,Omar Cooper Jr.,WR,22.0,,,0,0,0,,,
2026,1,31,TEN,Keldric Faulk,DE,21.0,,,0,0,0,,,
2026,1,32,SEA,Jadarian Price,RB,22.0,,,0,0,0,,,
2026,2,33,SFO,De'Zhaun Stribling,WR,23.0,,,0,0,0,,,
2026,2,34,ARI,Chase Bisontis,G,22.0,,,0,0,0,,,
2026,2,35,BUF,T.J. Parker,DE,21.0,,,0,0,0,,,
2026,2,36,HOU,Kayden McDonald,DT,21.0,,,0,0,0,,,
2026,2,37,NYG,Colton Hood,CB,21.0,,,0,0,0,,,
2026,2,38,LVR,Treydan Stukes,CB,24.0,,,0,0,0,,,
2026,2,39,CLE,Denzel Boston,WR,22.0,,,0,0,0,,,
2026,2,40,KAN,R Mason Thomas,DE,22.0,,,0,0,0,,,
2026,2,41,CIN,Cashius Howell,DE,23.0,,,0,0,0,,,
2026,2,42,NOR,Christen Miller,DT,22.0,,,0,0,0,,,
2026,2,43,MIA,Jacob Rodriguez,LB,24.0,,,0,0,0,,,
2026,2,44,DET,Derrick Moore,DE,23.0,,,0,0,0,,,
2026,2,45,BAL,Zion Young,DE,22.0,,,0,0,0,,,
2026,2,46,TAM,Josiah Trotter,LB,21.0,,,0,0,0,,,
2026,2,47,PIT,Germie Bernard,WR,22.0,,,0,0,0,,,
2026,2,48,ATL,Avieon Terrell,CB,21.0,,,0,0,0,,,
2026,2,49,CAR,Lee Hunter,DT,24.0,,,0,0,0,,,
2026,2,50,NYJ,D'Angelo Ponds,CB,21.0,,,0,0,0,,,
2026,2,51,MIN,Jake Golday,LB,23.0,,,0,0,0,,,
2026,2,52,GNB,Brandon Cisse,CB,21.0,,,0,0,0,,,
2026,2,53,IND,CJ Allen,LB,21.0,,,0,0,0,,,
2026,2,54,PHI,Eli Stowers,TE,23.0,,,0,0,0,,,
